team_id,name,captain,coach,home_venue
T001,Chennai Super Kings,Ruturaj Gaikwad,Stephen Fleming,M. A. Chidambaram Stadium
T002,Mumbai Indians,Hardik Pandya,Mark Boucher,Wankhede Stadium
T003,Royal Challengers Bengaluru,Faf du Plessis,Andy Flower,M. Chinnaswamy Stadium
T004,Kolkata Knight Riders,Shreyas Iyer,Chandrakant Pandit,Eden Gardens
T005,Rajasthan Royals,Sanju Samson,Kumar Sangakkara,Sawai Mansingh Stadium
T006,Sunrisers Hyderabad,Pat Cummins,Daniel Vettori,Rajiv Gandhi Intl. Cricket Stadium
T007,Delhi Capitals,Rishabh Pant,Ricky Ponting,Arun Jaitley Stadium
T008,Lucknow Super Giants,KL Rahul,Justin Langer,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Stadium
